年月,信用卡產業別,信用卡詐欺型態,詐欺筆數,詐欺金額[新臺幣]
201403,百貨,偽卡,16,271078
201403,百貨,MOTO / EC,38,127237
201403,百貨,多刷帳單之詐欺,0,0
201403,百貨,其他,0,0
201403,其他,遺失卡,34,365665
201403,其他,被竊卡,24,119670
201403,其他,未達卡,12,57061
201403,其他,冒用申請卡,4,16859
201403,其他,偽卡,88,1170770
201403,其他,MOTO / EC,21046,24819803
201403,其他,多刷帳單之詐欺,6,33430
201403,其他,其他,98,783438
201404,食,遺失卡,71,391189
201404,食,被竊卡,29,220126
201404,食,未達卡,1,29000
201404,食,冒用申請卡,0,0
201404,食,偽卡,94,801702
201404,食,MOTO / EC,189,1026096
201404,食,多刷帳單之詐欺,0,0
201404,食,其他,7,78675
201404,衣,遺失卡,17,192301
201404,衣,被竊卡,10,436181
201404,衣,未達卡,0,0
201404,衣,冒用申請卡,0,0
201404,衣,偽卡,13,254776
201404,衣,MOTO / EC,148,2164380
201404,衣,多刷帳單之詐欺,0,0
201404,衣,其他,2,39199
201404,住,遺失卡,13,497957
201404,住,被竊卡,7,284549
201404,住,未達卡,0,0
201404,住,冒用申請卡,0,0
201404,住,偽卡,3,85475
201404,住,MOTO / EC,138,1782114
201404,住,多刷帳單之詐欺,0,0
201404,住,其他,2,5850
201404,行,遺失卡,51,124409
201404,行,被竊卡,9,9281
201404,行,未達卡,1,1000
201404,行,冒用申請卡,0,0
201404,行,偽卡,20,54386
201404,行,MOTO / EC,109,1164267
201404,行,多刷帳單之詐欺,1,1150
201404,行,其他,2,746
201404,文教康樂,遺失卡,39,200343
201404,文教康樂,被竊卡,12,173127
201404,文教康樂,未達卡,0,0
201404,文教康樂,冒用申請卡,5,8802
201404,文教康樂,偽卡,14,562036
201404,文教康樂,MOTO / EC,4626,9335634
201404,文教康樂,多刷帳單之詐欺,0,0
201404,文教康樂,其他,8,23730
201404,百貨,遺失卡,12,57090
201404,百貨,被竊卡,0,0
201404,百貨,未達卡,0,0
201404,百貨,冒用申請卡,0,0
201404,百貨,偽卡,15,187401
201404,百貨,MOTO / EC,82,338778
201404,百貨,多刷帳單之詐欺,0,0
201404,百貨,其他,4,14211
201404,其他,遺失卡,64,545682
201404,其他,被竊卡,6,96569
201404,其他,未達卡,1,800
201404,其他,冒用申請卡,0,0
201404,其他,偽卡,46,432257
201404,其他,MOTO / EC,17219,20361568
201404,其他,多刷帳單之詐欺,1,2164
201404,其他,其他,75,209118
201405,食,遺失卡,171,636504
201405,食,被竊卡,27,78546
201405,食,未達卡,0,0
201405,食,冒用申請卡,4,161465
201405,食,偽卡,53,615384
201405,食,MOTO / EC,144,598462
201405,食,多刷帳單之詐欺,0,0
201405,食,其他,3,31103
201405,衣,遺失卡,6,80575
201405,衣,被竊卡,11,304733
201405,衣,未達卡,0,0
201405,衣,冒用申請卡,0,0
201405,衣,偽卡,11,118414
201405,衣,MOTO / EC,115,1668126
201405,衣,多刷帳單之詐欺,0,0
201405,衣,其他,7,11561
201405,住,遺失卡,6,127496
201405,住,被竊卡,4,99549
201405,住,未達卡,0,0
201405,住,冒用申請卡,0,0
201405,住,偽卡,9,217414
201405,住,MOTO / EC,146,1996662
201405,住,多刷帳單之詐欺,0,0
201405,住,其他,8,67583
201405,行,遺失卡,44,63059
